,Channel,Compound,Date,Negative,Neutral,Positive,Text,Tweet Ago
301,@FoxNews,-0.3182,Tue Mar 13 03:11:58 +0000 2018,0.216,0.784,0.0,"#Trump touts House Intel findings of 'no evidence of collusion' between campaign, Russia https://t.co/j1GP8X67ig",2
302,@FoxNews,-0.296,Tue Mar 13 02:53:55 +0000 2018,0.147,0.754,0.099,".@Reince: ""Regardless of what people like to write in the media about the drama and the chaos, the president would… https://t.co/Bo1vWVUq1V",3
303,@FoxNews,0.3612,Tue Mar 13 02:45:26 +0000 2018,0.123,0.67,0.207,.@IngrahamAngle Rips #Trump Critics on Trade: 'How Many of Those Guys Won Ohio?' https://t.co/IIQ46dlz2j,4
304,@FoxNews,0.0,Tue Mar 13 02:44:27 +0000 2018,0.0,1.0,0.0,".@Reince on @POTUS tariff plan: ""This wasn't something that the president suddenly came up with...This was somethin… https://t.co/Tn2STJkMna",5
305,@FoxNews,0.0,Tue Mar 13 02:36:17 +0000 2018,0.0,1.0,0.0,".@Reince on previous calls to end congressional collusion probes: ""Behind closed doors the president was saying, 'N… https://t.co/5IjgCgmuDU",6
306,@FoxNews,0.5719,Tue Mar 13 02:30:57 +0000 2018,0.0,0.793,0.207,".@IngrahamAngle on @POTUS' tariff plan: ""I think it's time for the party to unify behind the president's vision and… https://t.co/hM8HOfg2cu",7
307,@FoxNews,-0.4404,Tue Mar 13 02:24:04 +0000 2018,0.127,0.873,0.0,".@IngrahamAngle on criticism of @POTUS tariffs: ""Once again, we see that most on Capitol Hill still do not get why… https://t.co/FxGLI11M0s",8
308,@FoxNews,0.0,Tue Mar 13 02:11:08 +0000 2018,0.0,1.0,0.0,".@VP: “What North Korea should know, what the world should know, is that we will not relent in our maximum pressure… https://t.co/uTKp5wK6ay",9
309,@FoxNews,0.6908,Tue Mar 13 02:07:14 +0000 2018,0.0,0.729,0.271,".@VP on 2018 midterm elections: “The only thing at stake is everything…If you like a growing economy, if you like 3… https://t.co/K17EgjvMp6",10
310,@FoxNews,0.8685,Tue Mar 13 02:04:19 +0000 2018,0.0,0.625,0.375,.@VP on Joy Behar’s comments: ”My Christian faith is the most important thing in my life…I felt it was important th… https://t.co/59ysCyyEWQ,11
311,@FoxNews,0.0772,Tue Mar 13 02:00:52 +0000 2018,0.0,0.933,0.067,".@VP: “The [Oakland] mayor’s actions are disgraceful on a couple levels. Number 1, she’s setting aside her oath of… https://t.co/gIlJY1pnlq",12
312,@FoxNews,-0.6486,Tue Mar 13 01:47:00 +0000 2018,0.281,0.719,0.0,Grandson gets permission to retrieve body of serial killer Charles Manson https://t.co/FU7aaFHZSS,13
313,@FoxNews,-0.7906,Tue Mar 13 01:33:23 +0000 2018,0.32,0.68,0.0,".@RepChrisStewart: “We’ve been accusing people of conspiracy and treason, and at the end of the day, these people a… https://t.co/v7ceosJHZo",14
314,@FoxNews,0.2023,Tue Mar 13 01:26:08 +0000 2018,0.0,0.921,0.079,".@VP: “I think it’s important that if there were actions taken that were inconsistent with the FISA courts, or in o… https://t.co/huOu6FbV2W",15
315,@FoxNews,0.3818,Tue Mar 13 01:23:42 +0000 2018,0.0,0.88,0.12,".@VP: “What’s clear now is that Russian individuals and elements, and maybe other countries, sought to, in your wor… https://t.co/V0JaRzUgQr",16
316,@FoxNews,0.2263,Tue Mar 13 01:20:15 +0000 2018,0.114,0.725,0.161,".@realDonaldTrump trumpeted the House Intelligence Committee's report that it found ""no evidence of collusion, coor… https://t.co/blcS1gl8lD",17
317,@FoxNews,-0.2263,Tue Mar 13 01:01:51 +0000 2018,0.16,0.84,0.0,Judge throws out Massachusetts lawsuit over #Trump birth control rules https://t.co/AIFjVyneIe,18
318,@FoxNews,0.0,Tue Mar 13 00:39:55 +0000 2018,0.0,1.0,0.0,"'He Has An Affinity for Dictators': @HillaryClinton Rips @realDonaldTrump, Says 'Pressures' Caused White Women to V… https://t.co/sei3pewkds",19
319,@FoxNews,-0.7906,Tue Mar 13 00:31:15 +0000 2018,0.538,0.462,0.0,"Shooting at Florida business leaves 1 dead, 2 injured https://t.co/MSogsf1NZq",20
